E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     56.71    0.00    0.00    0.00    0.00
  0     200         25.38   3243.57   62.06   65.38   59.07    0.62
  0     400         79.33   2728.60   68.83   67.23   70.51    0.69
  0     600         71.04   2766.21   73.04   72.09   74.01    0.73
  0     800         74.49   3108.62   76.04   78.53   73.71    0.76
  0    1000         74.29   3510.77   77.26   78.85   75.73    0.77
  0    1200         99.08   4118.58   78.61   78.69   78.52    0.79
  0    1400        103.12   4583.80   80.11   80.85   79.38    0.80
  0    1600        123.78   5604.56   81.11   81.07   81.14    0.81
  0    1800        153.71   6492.84   81.15   82.16   80.18    0.81
  0    2000        186.27   7609.57   81.81   82.08   81.54    0.82
  0    2200        252.08   9287.64   82.10   81.43   82.77    0.82
  1    2400        317.09   9520.50   82.84   82.61   83.07    0.83
  1    2600        324.31   9313.14   83.03   83.08   82.99    0.83
  1    2800        331.51   9536.24   83.47   82.76   84.19    0.83
  1    3000        337.80   9567.56   83.27   82.51   84.05    0.83
  2    3200        356.71   8560.32   83.07   83.69   82.45    0.83
  2    3400        355.16   8187.93   83.39   83.02   83.76    0.83
  2    3600        379.94   8383.63   83.47   83.47   83.46    0.83
  2    3800        366.80   8262.46   83.59   83.71   83.47    0.84
  3    4000        370.64   7899.74   83.37   82.78   83.96    0.83
  3    4200        393.40   7162.11   83.64   83.11   84.18    0.84
  3    4400        454.78   7682.28   83.52   84.19   82.87    0.84
  3    4600        422.87   7532.33   83.16   83.21   83.10    0.83
  4    4800        423.09   7232.53   82.86   83.18   82.54    0.83
  4    5000        418.54   6373.61   83.66   83.90   83.42    0.84
  4    5200        440.31   6800.31   83.64   83.11   84.16    0.84
  4    5400        428.28   6789.08   83.50   82.97   84.03    0.83
  5    5600        473.56   6952.17   83.68   83.21   84.16    0.84
  5    5800        497.35   5856.61   83.24   83.27   83.21    0.83
  5    6000        493.62   6165.93   83.35   82.47   84.24    0.83
  5    6200        486.91   6341.31   83.24   83.13   83.35    0.83
  5    6400        510.13   6470.61   83.44   82.88   84.01    0.83
  6    6600        465.98   5369.24   83.61   83.59   83.62    0.84
  6    6800        509.28   5564.41   83.45   83.87   83.03    0.83
  6    7000        546.51   6032.27   83.26   82.89   83.63    0.83
  6    7200        564.88   6106.96   83.07   82.91   83.24    0.83
